recipientsCount,responses,packaging,personality,feedback,timestamp
1,"[{'gender': 'Female', 'knownDuration': '1–3 year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '16–20', 'gifts': [{'type': 'Clothing', 'preferredStyle': ['Handmade & Crafted'], 'femaleDressStyle': 'Frock', 'dressSize': 'XS', 'dressColors': ['Maroon'], 'dressType': 'Stitched dress', 'dressPrice': '5000 PKR'}], 'relationship': 'Friend', 'ageType': 'Adult'}]",Simple box,"{'personality': '5', 'experiencePreference': '4', 'handmadePreference': '4', 'budgetFlexibility': 3, 'stylePreference': '2', 'surpriseReaction': '4', 'connectionImportance': '4', 'noteImportance': '4', 'handmadeOverStore': '4', 'sharedMemoriesAppreciation': '4', 'relationshipCloseness': 3, 'uniqueGiftValue': '3', 'practicalOverSentimental': '4'}","{'helpful': 'Yes', 'suggestion': ''}",2026-03-11 20:00:52.375000+00:00
1,"[{'gender': 'Male', 'knownDuration': '1–3 year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '25–35', 'gifts': [{'type': 'Jewellery', 'preferredStyle': ['Handmade & Crafted', 'Funny & Lighthearted'], 'jewelryColor': 'Silver', 'quantity': 1, 'jewelryStyle': 'Bracelet', 'jewelryPrice': '2000–3000 PKR'}], 'relationship': 'Friend', 'ageType': 'Adult'}]",Simple box,"{'personality': '5', 'experiencePreference': '4', 'handmadePreference': '4', 'budgetFlexibility': '4', 'stylePreference': '4', 'surpriseReaction': 3, 'connectionImportance': '4', 'noteImportance': '5', 'handmadeOverStore': '5', 'sharedMemoriesAppreciation': '4', 'relationshipCloseness': '4', 'uniqueGiftValue': '5', 'practicalOverSentimental': '5'}","{'helpful': 'Maybe', 'suggestion': ''}",2026-03-14 05:58:52.288000+00:00
3,"[{'gender': 'Female', 'knownDuration': '', 'id': 1, 'kidToyTypes': ['Building Toys (e.g. LEGO)'], 'kidDislikes': ['Noisy Toys'], 'occasion': ['Birthday'], 'ageGroup': '3–6', 'gifts': [{'type': 'Toys', 'kidBudget': '3500 – 5500 PKR'}, {'type': 'Toys', 'kidBudget': '3500 – 5500 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Kid'}, {'gender': 'Female', 'knownDuration': '', 'id': 2, 'kidToyTypes': ['Building Toys (e.g. LEGO)'], 'kidDislikes': ['Noisy Toys'], 'occasion': ['Birthday'], 'ageGroup': '3–6', 'gifts': [{'type': 'Toys', 'kidBudget': '3500 – 5500 PKR'}, {'type': 'Toys', 'kidBudget': '3500 – 5500 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Kid'}, {'gender': 'Male', 'knownDuration': '1–3 year', 'id': 3, 'occasion': ['Graduation'], 'ageGroup': '20–25', 'gifts': [{'type': 'Edible Stuff', 'preferredStyle': ['Handmade & Crafted'], 'edibleQuantity': 1, 'flavours': {'Chocolates': 'Milk Chocolate'}, 'foodItems': ['Chocolates'], 'ediblePrice': '3000–4000 PKR'}], 'relationship': 'Extended Family (Aunt, Uncle, Cousin)', 'ageType': 'Adult'}]",Basket with net,"{'personality': '4', 'experiencePreference': '4', 'handmadePreference': '4', 'budgetFlexibility': '4', 'stylePreference': '2', 'surpriseReaction': '2', 'connectionImportance': '4', 'noteImportance': '4', 'handmadeOverStore': '4', 'sharedMemoriesAppreciation': '4', 'relationshipCloseness': '4', 'uniqueGiftValue': '4', 'practicalOverSentimental': '4'}","{'helpful': 'Yes', 'suggestion': ''}",2026-01-08 19:22:06.724000+00:00
2,"[{'gender': 'Male', 'knownDuration': '3–5 year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Jewellery', 'preferredStyle': ['Quirky & Unique'], 'jewelryColor': 'Gold', 'quantity': 1, 'jewelryStyle': 'Rings', 'jewelryPrice': '3000–4000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}, {'gender': 'Female', 'knownDuration': '', 'id': 2, 'kidToyTypes': ['Arts & Crafts'], 'kidDislikes': ['Animated Cartoons'], 'occasion': ['Holiday'], 'ageGroup': '6–9', 'gifts': [{'type': 'Toys', 'kidBudget': '3500 – 5500 PKR'}, {'type': 'Accessories', 'quantity': 1, 'jewelryStyle': 'Bracelets', 'jewelryColors': 'Green', 'jewelryPrice': '4000–5000 PKR'}], 'relationship': 'Extended Family (Aunt, Uncle, Cousin)', 'ageType': 'Kid'}]",Basket with ribbon,"{'personality': '2', 'experiencePreference': '4', 'handmadePreference': '1', 'budgetFlexibility': '4', 'stylePreference': '4', 'surpriseReaction': '4', 'connectionImportance': '4', 'noteImportance': '5', 'handmadeOverStore': '4', 'sharedMemoriesAppreciation': '5', 'relationshipCloseness': '4', 'uniqueGiftValue': '5', 'practicalOverSentimental': '4'}","{'helpful': 'Maybe', 'suggestion': ''}",2025-12-30 09:21:13.412000+00:00
1,"[{'gender': 'Male', 'knownDuration': '3–5 year', 'id': 1, 'occasion': ['Holiday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Perfume', 'preferredStyle': ['Handmade & Crafted'], 'perfumeScent': 'Floral', 'perfumePrice': '7000–10,000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}]",Simple box,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Yes', 'suggestion': ''}",2026-04-05 22:30:07.871000+00:00
1,"[{'gender': 'Female', 'knownDuration': '', 'id': 1, 'kidToyTypes': ['Building Toys (e.g. LEGO)'], 'kidDislikes': ['Noisy Toys'], 'occasion': ['Birthday'], 'ageGroup': '12–15', 'gifts': [{'type': 'Toys', 'kidBudget': '3500 PKR'}], 'relationship': 'Other', 'ageType': 'Kid'}]",Simple box,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'No', 'suggestion': ''}",2025-12-23 06:18:11.309000+00:00
1,"[{'gender': 'Male', 'knownDuration': '1–3 year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '16–20', 'gifts': [{'type': 'Perfume', 'preferredStyle': ['Funny & Lighthearted'], 'perfumeScent': 'Sweet', 'perfumePrice': '5000 PKR'}], 'relationship': 'Friend', 'ageType': 'Adult'}]",Acrylic box,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': '4', 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'No', 'suggestion': 'None'}",2026-04-08 05:21:06.479000+00:00
2,"[{'gender': 'Male', 'knownDuration': '3–5 year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Clothing', 'preferredStyle': ['Handmade & Crafted'], 'dressSize': 'L', 'maleDressStyle': 'Kurta', 'dressColors': ['Black'], 'dressType': 'Stitched dress', 'dressPrice': '5000 PKR'}], 'relationship': 'Friend', 'ageType': 'Adult'}, {'gender': 'Male', 'knownDuration': '3–5 year', 'id': 2, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Clothing', 'preferredStyle': ['Handmade & Crafted'], 'dressSize': 'L', 'maleDressStyle': 'Kurta', 'dressColors': ['Black'], 'dressType': 'Stitched dress', 'dressPrice': '5000 PKR'}], 'relationship': 'Friend', 'ageType': 'Adult'}]",Simple box,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Yes', 'suggestion': 'You guys did work Hard'}",2026-03-14 04:11:22.070000+00:00
1,"[{'gender': 'Male', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '20–25', 'gifts': [{'type': 'Perfume', 'preferredStyle': ['Handmade & Crafted'], 'perfumeScent': 'Spicy', 'perfumePrice': '7000–10,000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}]",Basket with ribbon,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': 'Yes', 'suggestion': 'Gg'}",2026-03-14 07:04:07.629000+00:00
1,"[{'gender': 'Male', 'knownDuration': '5+ year', 'id': 1, 'occasion': ['Birthday'], 'ageGroup': '25–35', 'gifts': [{'type': 'Perfume', 'perfumeScent': 'Spicy', 'perfumePrice': '12,000–15,000 PKR'}], 'relationship': 'Close Family(Parent, Sibling, Child)', 'ageType': 'Adult'}]",Basket with ribbon,"{'personality': 3, 'experiencePreference': 3, 'handmadePreference': 3, 'budgetFlexibility': 3, 'stylePreference': 3, 'surpriseReaction': 3, 'connectionImportance': 3, 'noteImportance': 3, 'handmadeOverStore': 3, 'sharedMemoriesAppreciation': 3, 'relationshipCloseness': 3, 'uniqueGiftValue': 3, 'practicalOverSentimental': 3}","{'helpful': '', 'suggestion': ''}",2025-12-23 05:31:27.108000+00:00
