occasion,relationship,gender,ageType,ageGroup,knownDuration,kidDislikes,kidToyTypes,personality,experiencePreference,handmadePreference,budgetFlexibility,stylePreference,surpriseReaction,connectionImportance,noteImportance,handmadeOverStore,sharedMemoriesAppreciation,relationshipCloseness,uniqueGiftValue,practicalOverSentimental,budget,gift_type
Birthday,Friend,Female,Adult,16–20,1–3 year,Unknown,Unknown,5,4,4,3,2,4,4,4,4,4,3,3,4,5000 PKR,Clothing
Birthday,Friend,Male,Adult,25–35,1–3 year,Unknown,Unknown,5,4,4,4,4,3,4,5,5,4,4,5,5,2000–3000 PKR,Jewellery
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,3–6,Unknown,Noisy Toys,Building Toys (e.g. LEGO),4,4,4,4,2,2,4,4,4,4,4,4,4,3500 – 5500 PKR,Toys
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,3–6,Unknown,Noisy Toys,Building Toys (e.g. LEGO),4,4,4,4,2,2,4,4,4,4,4,4,4,3500 – 5500 PKR,Toys
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,3–6,Unknown,Noisy Toys,Building Toys (e.g. LEGO),4,4,4,4,2,2,4,4,4,4,4,4,4,3500 – 5500 PKR,Toys
Birthday,"Close Family(Parent, Sibling, Child)",Female,Kid,3–6,Unknown,Noisy Toys,Building Toys (e.g. LEGO),4,4,4,4,2,2,4,4,4,4,4,4,4,3500 – 5500 PKR,Toys
Graduation,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,1–3 year,Unknown,Unknown,4,4,4,4,2,2,4,4,4,4,4,4,4,3000–4000 PKR,Edible Stuff
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,3–5 year,Unknown,Unknown,2,4,1,4,4,4,4,5,4,5,4,5,4,3000–4000 PKR,Jewellery
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Female,Kid,6–9,Unknown,Animated Cartoons,Arts & Crafts,2,4,1,4,4,4,4,5,4,5,4,5,4,3500 – 5500 PKR,Toys
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Female,Kid,6–9,Unknown,Animated Cartoons,Arts & Crafts,2,4,1,4,4,4,4,5,4,5,4,5,4,4000–5000 PKR,Accessories
Holiday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"7000–10,000 PKR",Perfume
Birthday,Other,Female,Kid,12–15,Unknown,Noisy Toys,Building Toys (e.g. LEGO),3,3,3,3,3,3,3,3,3,3,3,3,3,3500 PKR,Toys
Birthday,Friend,Male,Adult,16–20,1–3 year,Unknown,Unknown,3,3,3,4,3,3,3,3,3,3,3,3,3,5000 PKR,Perfume
Birthday,Friend,Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Clothing
Birthday,Friend,Male,Adult,20–25,3–5 year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Clothing
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"7000–10,000 PKR",Perfume
Birthday,"Close Family(Parent, Sibling, Child)",Male,Adult,25–35,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,"12,000–15,000 PKR",Perfume
Birthday,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,1000 PKR,Edible Stuff
Birthday,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,1000–2000 PKR,Jewellery
Birthday,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,3000–5000 PKR,Bag/Wallet
Birthday,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,5000 PKR,Perfume
Birthday,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,3,3,3,3,3,3,3,3,3,3,3,3,3,1000 PKR,Edible Stuff
Thank you gift,Friend,Male,Adult,20–25,5+ year,Unknown,Unknown,3,5,5,4,5,5,5,5,5,5,5,5,5,1000–2000 PKR,Edible Stuff
Birthday|Wedding/Engagement gift|Thank you gift|Get well soon|Other|Graduation,Colleague/Professional,Female,Adult,25–35,5+ year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,"10,000–15,000 PKR",Bag/Wallet
Graduation|Birthday|Thank you gift|Get well soon|Other,"Close Family(Parent, Sibling, Child)",Female,Adult,20–25,5+ year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,2000–3000 PKR,Jewellery
Birthday|Graduation|Thank you gift|Get well soon|Other,"Close Family(Parent, Sibling, Child)",Male,Adult,20–25,5+ year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,5000–8000 PKR,Clothing
Birthday|Graduation|Get well soon,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,25–35,1–3 year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,1000 PKR,Edible Stuff
Birthday|Get well soon|Other,Friend,Female,Adult,20–25,5+ year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,4000–5000 PKR,Makeup Products
Graduation,"Close Family(Parent, Sibling, Child)",Female,Adult,25–35,1–3 year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,1000–2000 PKR,Edible Stuff
Birthday|Thank you gift,Colleague/Professional,Male,Adult,More than 35 years,Less than a year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,"5000–10,000 PKR",Shoes
Anniversary,Colleague/Professional,Female,Adult,25–35,1–3 year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,5000 PKR,Clothing
Wedding/Engagement gift,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,25–35,3–5 year,Unknown,Unknown,5,4,5,5,5,4,5,4,5,5,4,4,4,1000–2000 PKR,Edible Stuff
Birthday|Graduation|Thank you gift,"Close Family(Parent, Sibling, Child)",Female,Kid,12–15,Unknown,Electronic Gadgets,Dolls,5,4,5,5,5,4,5,4,5,5,4,4,4,1000–2000 PKR,Accessories
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,5+ year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,3000–4000 PKR,Jewellery
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,5+ year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,"10,000–15,000 PKR",Clothing
Holiday,"Extended Family (Aunt, Uncle, Cousin)",Male,Adult,20–25,5+ year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,5000–8000 PKR,Clothing
Birthday,Colleague/Professional,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,5000–7000 PKR,Perfume
Birthday,Colleague/Professional,Female,Adult,20–25,1–3 year,Unknown,Unknown,3,1,1,1,5,1,5,5,1,5,5,5,3,3000–4000 PKR,Jewellery
