gender,age_group,age_type,relationship,occasion,gift_type,price,color,product_style,gift_item_style,container_type,size,scent,personality_score
female,16–20,adult,friend,birthday,clothing,5000 PKR,Maroon,Frock,Handmade & Crafted,simple box,XS,,3.6923076923076925
male,25–35,adult,friend,birthday,jewellery,2000–3000 PKR,Silver,Bracelet,"Funny & Lighthearted, Handmade & Crafted",simple box,,,4.3076923076923075
female,3–6,kid,"close family(parent, sibling, child)",birthday,toys,3500 – 5500 PKR,,,,basket with net,,,3.6923076923076925
female,3–6,kid,"close family(parent, sibling, child)",birthday,toys,3500 – 5500 PKR,,,,basket with net,,,3.6923076923076925
female,3–6,kid,"close family(parent, sibling, child)",birthday,toys,3500 – 5500 PKR,,,,basket with net,,,3.6923076923076925
female,3–6,kid,"close family(parent, sibling, child)",birthday,toys,3500 – 5500 PKR,,,,basket with net,,,3.6923076923076925
male,20–25,adult,"extended family (aunt, uncle, cousin)",graduation,edible stuff,3000–4000 PKR,,,Handmade & Crafted,basket with net,,,3.6923076923076925
male,20–25,adult,"close family(parent, sibling, child)",birthday,jewellery,3000–4000 PKR,Gold,Rings,Quirky & Unique,basket with ribbon,,,3.8461538461538463
female,6–9,kid,"extended family (aunt, uncle, cousin)",holiday,toys,3500 – 5500 PKR,,,,basket with ribbon,,,3.8461538461538463
female,6–9,kid,"extended family (aunt, uncle, cousin)",holiday,accessories,4000–5000 PKR,Green,Bracelets,,basket with ribbon,,,3.8461538461538463
male,20–25,adult,"close family(parent, sibling, child)",holiday,perfume,"7000–10,000 PKR",,,Handmade & Crafted,simple box,,Floral,3.0
female,12–15,kid,other,birthday,toys,3500 PKR,,,,simple box,,,3.0
male,16–20,adult,friend,birthday,perfume,5000 PKR,,,Funny & Lighthearted,acrylic box,,Sweet,3.076923076923077
male,20–25,adult,friend,birthday,clothing,5000 PKR,Black,Kurta,Handmade & Crafted,simple box,L,,3.0
male,20–25,adult,friend,birthday,clothing,5000 PKR,Black,Kurta,Handmade & Crafted,simple box,L,,3.0
male,20–25,adult,"close family(parent, sibling, child)",birthday,perfume,"7000–10,000 PKR",,,Handmade & Crafted,basket with ribbon,,Spicy,3.0
male,25–35,adult,"close family(parent, sibling, child)",birthday,perfume,"12,000–15,000 PKR",,,,basket with ribbon,,Spicy,3.0
female,20–25,adult,friend,birthday,edible stuff,1000 PKR,,,Handmade & Crafted,basket with net,,,3.0
female,20–25,adult,friend,birthday,jewellery,1000–2000 PKR,Silver,Earrings,Handmade & Crafted,basket with net,,,3.0
female,20–25,adult,friend,birthday,bag/wallet,3000–5000 PKR,Black,Tote bags,Handmade & Crafted,basket with net,,,3.0
female,20–25,adult,friend,birthday,perfume,5000 PKR,,,Handmade & Crafted,basket with net,,Floral,3.0
female,20–25,adult,friend,birthday,edible stuff,1000 PKR,,,Handmade & Crafted,basket with net,,,3.0
male,20–25,adult,friend,thank you gift,edible stuff,1000–2000 PKR,,,Handmade & Crafted,basket with net,,,4.769230769230769
female,25–35,adult,colleague/professional,birthday,bag/wallet,"10,000–15,000 PKR",Blue,Mini wallets,Quirky & Unique,acrylic box,,,4.538461538461538
female,20–25,adult,"close family(parent, sibling, child)",graduation,jewellery,2000–3000 PKR,Gold,Earrings,Handmade & Crafted,acrylic box,,,4.538461538461538
male,20–25,adult,"close family(parent, sibling, child)",birthday,clothing,5000–8000 PKR,Purple,,Funny & Lighthearted,acrylic box,,,4.538461538461538
male,25–35,adult,"extended family (aunt, uncle, cousin)",birthday,edible stuff,1000 PKR,,,Quirky & Unique,acrylic box,,,4.538461538461538
female,20–25,adult,friend,birthday,makeup products,4000–5000 PKR,,,Funny & Lighthearted,acrylic box,,,4.538461538461538
female,25–35,adult,"close family(parent, sibling, child)",graduation,edible stuff,1000–2000 PKR,,,Quirky & Unique,acrylic box,,,4.538461538461538
male,More than 35 years,adult,colleague/professional,birthday,shoes,"5000–10,000 PKR",Light brown,Formal shoes,Quirky & Unique,acrylic box,42,,4.538461538461538
female,25–35,adult,colleague/professional,anniversary,clothing,5000 PKR,Yellow,Frock,Handmade & Crafted,acrylic box,S,,4.538461538461538
male,25–35,adult,"extended family (aunt, uncle, cousin)",wedding/engagement gift,edible stuff,1000–2000 PKR,,,"Handmade & Crafted, Quirky & Unique",acrylic box,,,4.538461538461538
female,12–15,kid,"close family(parent, sibling, child)",birthday,accessories,1000–2000 PKR,Blue,Bracelets,,acrylic box,,,4.538461538461538
